id,greek_name,scientific_name,md1,md2,md3,md4,md5,md6,total,area_m²,crown_volume_m³,avg_crown_volume_m³
1,_ΑΓΝΩΣΤΟ ΕΙΔΟΣ_,Άγνωστο είδος,742,414,132,949,1501,,3738,487,1327,24
2,ΑΓΓΕΛΙΚΗ,Pittosporum tobira,10,9,6,40,21,,86,568,727,8
3,ΑΕΙΛΑΝΘΟΣ,Ailanthus altissima,21,35,2,43,63,,164,5582,25856,162
4,ΑΚΑΚΙΑ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ,Albizia julibrissin,210,133,80,170,148,,741,16998,38015,59
5,ΑΚΑΚΙΑ ΣΦ,Acacia sp,6,,5,29,12,,52,795,2196,45
6,ΑΜΥΓΔΑΛΙΑ,Prunus amygdalus,1,1,1,1,,,4,52,96,24
7,ΑΡΙΑ,Quercus ilex,,,1,4,,,5,9,8,2
8,ΑΡΙΖΟΝΑ,Cupressus arizonica,8,4,8,7,2,,29,204,581,20
9,ΑΛΜΥΡΙΚΙ,Tamarix parviflora,,,,,4,,4,9,13,3
10,ΑΡΟΚΑΡΙΑ,Araucaria heteroplylla,1,,,,,,1,0,0,0
11,ΑΧΛΑΔΙΑ,Pyrus communis,,3,1,2,7,,13,138,300,23
12,ΒΕΡΙΚΟΚΙΑ,Prunus armeniaca,2,1,,5,7,,15,180,361,24
13,ΒΥΣΣΙΝΙΑ,Prunus cerasus,2,2,,,8,,12,123,414,35
14,ΓΙΟΥΚΑ,Yucca sp,3,2,,5,12,,22,63,69,3
15,ΓΚΙΝΓΚΟ,Gingo biloba,111,,1,,4,,116,830,1612,15
16,ΓΚΛΕΝΤΙΤΣΙΑ,Gleditsia triacanthos,,1,,11,34,,46,1010,3811,83
17,ΔΑΦΝΗ,Laurus nobilis,45,6,36,47,51,,185,1632,4096,22
18,ΔΑΦΝΟΚΕΡΑΣΟ,Prunus laurocerasus,,1,2,1,12,,16,19,25,2
19,ΔΡΥΣ,Quercus sp,59,29,,,,,88,471,929,11
20,ΕΛΑΤΟ,Abies sp,1,,1,1,9,,12,52,67,6
21,ΕΛΙΑ,Olea europaea,105,54,20,288,166,,633,7932,18061,29
22,ΕΥΚΑΛΥΠΤΟΣ,Eucalyptus sp,1,3,,13,10,,27,708,3807,146
23,ΙΒΙΣΚΟΣ,Hibiscus syriacus,194,41,12,137,343,,727,6245,9980,14
24,ΙΠΠΟΚΑΣΤΑΝΙΑ,Aesculus hippocastanum,21,8,,155,331,,515,7217,18075,36
25,ΙΤΙΑ,Salix babylonica,,,,2,1,,3,78,283,94
26,ΚΑΒΑΚΙ,Populus thevestina,2,12,2,9,179,,204,4835,21825,110
27,ΚΑΛ ΔΑΜΑΣΚΗΝΙΑ,Prunus cerasifera,68,46,34,39,93,,280,2132,4287,16
28,ΚΑΛ ΜΗΛΙΑ,Pyrus malus,1,,,20,10,,31,85,85,3
